eva_row,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score,TNR,FPR
0,0,762,298,691,0.17018846373500857,0.0,0.0,0.0,0.2811320754716981,0.7188679245283018
1,0,762,445,544,0.2541404911479155,0.0,0.0,0.0,0.36868268434134216,0.6313173156586578
2,0,762,298,691,0.17018846373500857,0.0,0.0,0.0,0.2811320754716981,0.7188679245283018
3,0,762,449,540,0.2564249000571102,0.0,0.0,0.0,0.3707679603633361,0.629232039636664
4,0,762,298,691,0.17018846373500857,0.0,0.0,0.0,0.2811320754716981,0.7188679245283018
5,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
6,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
7,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
8,0,762,634,355,0.3620788121073672,0.0,0.0,0.0,0.45415472779369626,0.5458452722063037
9,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
10,66,696,39,950,0.05996573386636208,0.08661417322834646,0.06496062992125984,0.07424071991001124,0.053061224489795916,0.9469387755102041
11,0,762,989,0,0.5648201027984009,0.0,0.0,0.0,0.5648201027984009,0.4351798972015991
12,0,762,989,0,0.5648201027984009,0.0,0.0,0.0,0.5648201027984009,0.4351798972015991
13,0,762,792,197,0.4523129640205597,0.0,0.0,0.0,0.5096525096525096,0.49034749034749037
14,539,223,53,936,0.3380925185608224,0.7073490813648294,0.36542372881355933,0.4818953956191327,0.19202898550724637,0.8079710144927537
15,386,376,317,672,0.4014848657909766,0.5065616797900262,0.3648393194706994,0.42417582417582417,0.4574314574314574,0.5425685425685426
16,386,376,317,672,0.4014848657909766,0.5065616797900262,0.3648393194706994,0.42417582417582417,0.4574314574314574,0.5425685425685426
17,384,378,343,646,0.41519131924614505,0.5039370078740157,0.37281553398058254,0.42857142857142855,0.47572815533980584,0.5242718446601942
18,384,378,343,646,0.41519131924614505,0.5039370078740157,0.37281553398058254,0.42857142857142855,0.47572815533980584,0.5242718446601942
19,384,378,343,646,0.41519131924614505,0.5039370078740157,0.37281553398058254,0.42857142857142855,0.47572815533980584,0.5242718446601942
20,384,378,343,646,0.41519131924614505,0.5039370078740157,0.37281553398058254,0.42857142857142855,0.47572815533980584,0.5242718446601942
21,384,378,354,635,0.4214734437464306,0.5039370078740157,0.37684003925417076,0.4312184166198765,0.48360655737704916,0.5163934426229508
22,384,378,364,625,0.42718446601941745,0.5039370078740157,0.38057482656095143,0.4336533032185206,0.49056603773584906,0.5094339622641509
23,384,378,364,625,0.42718446601941745,0.5039370078740157,0.38057482656095143,0.4336533032185206,0.49056603773584906,0.5094339622641509
24,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
25,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
26,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
27,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
28,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
29,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
30,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
31,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
32,384,378,366,623,0.42832667047401485,0.5039370078740157,0.381330685203575,0.4341435839457321,0.49193548387096775,0.5080645161290323
33,41,721,85,904,0.0719588806396345,0.05380577427821522,0.04338624338624339,0.04803749267721148,0.1054590570719603,0.8945409429280397
34,41,721,186,803,0.12964020559680184,0.05380577427821522,0.0485781990521327,0.0510585305105853,0.20507166482910694,0.794928335170893
35,4,758,961,28,0.5511136493432325,0.005249343832020997,0.125,0.010075566750629723,0.5590459569517161,0.4409540430482839
36,274,488,989,0,0.721302113078241,0.35958005249343833,1.0,0.528957528957529,0.6696005416384563,0.33039945836154366
37,0,762,974,15,0.5562535693889206,0.0,0.0,0.0,0.5610599078341014,0.43894009216589863
38,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
39,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
40,0,762,250,739,0.1427755568246716,0.0,0.0,0.0,0.24703557312252963,0.7529644268774703
